Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
61244268,"Godkiller (Fallen Gods, #1)",Hannah Kaner,"Kaner, Hannah",,"=""0008521468""","=""9780008521462""",0,3.91,Harper Voyager,Hardcover,304,2023,2023,,2024/08/03,to-read,to-read (#190),to-read,,,,0,0
19351043,Nimona,N.D. Stevenson,"Stevenson, N.D.",,"=""""","=""""",0,4.18,Harper Collins,Kindle Edition,272,2015,2015,,2024/07/28,to-read,to-read (#189),to-read,,,,0,0
40532263,Nervous and Angry Feelings,Athena Simone,"Simone, Athena",,"=""""","=""""",0,4.07,BLVNP Incorporated,Kindle Edition,13,2018,,,2018/06/17,currently-reading,currently-reading (#2),currently-reading,,,,1,0
6288,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""0307265439""","=""9780307265432""",0,3.99,Alfred A. Knopf,Hardcover,241,2006,2006,,2024/06/23,to-read,to-read (#188),to-read,,,,0,0
13453029,"Wool Omnibus (Silo, #1)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",0,4.22,Broad Reach Publishing,Kindle Edition,509,2012,2012,,2024/06/23,to-read,to-read (#187),to-read,,,,0,0
17333324,"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,"Leckie, Ann",,"=""""","=""""",0,3.99,Orbit,Paperback,386,2013,2013,,2024/04/08,to-read,to-read (#186),to-read,,,,0,0
34511,"Monstrous Regiment (Discworld, #31; Industrial Revolution, #3)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",0,4.23,,Paperback,496,2003,2003,,2024/03/17,to-read,to-read (#185),to-read,,,,0,0
48727813,"She Who Became the Sun (The Radiant Emperor, #1)",Shelley Parker-Chan,"Parker-Chan, Shelley",,"=""1250621798""","=""9781250621795""",0,3.86,Tor Books,Kindle Edition,416,2021,2021,,2024/03/17,to-read,to-read (#184),to-read,,,,0,0
6080751,"Backwards to Oregon (The Oregon Series, #1)",Jae,"Jae, Jae",,"=""""","=""""",0,4.46,Ylva Publishing,Kindle Edition,465,2013,2007,,2024/03/13,to-read,to-read (#183),to-read,,,,0,0
704159,"Off the Wall (From the Files of Madison Finn, #15)",Laura Dower,"Dower, Laura",Stephanie Power,"=""0786817372""","=""9780786817375""",0,3.91,Volo,Paperback,176,2003,2004,,2024/03/10,,,read,,,,1,0
627848,"Thanks for Nothing (From the Files of Madison Finn, #5)",Laura Dower,"Dower, Laura",Stephanie Power,"=""0786815574""","=""9780786815579""",0,3.96,Volo,Paperback,165,2001,2001,,2024/03/10,,,read,,,,1,0
704153,"Double Dare (From the Files of Madison Finn, #14)",Laura Dower,"Dower, Laura",Stephanie Power,"=""0786817364""","=""9780786817368""",0,4.02,Volo,Paperback,176,2003,2003,,2024/03/10,,,read,,,,1,0
704152,"All Shook Up (From the Files of Madison Finn, #22)",Laura Dower,"Dower, Laura",,"=""0786837799""","=""9780786837793""",0,4.12,"Little, Brown Books for Young Readers",Paperback,176,2006,2006,,2024/03/10,,,read,,,,1,0
18394877,Denial,Jackie  Kennedy,"Kennedy, Jackie",,"=""""","=""""",0,4.18,Affinity Ebook Press NZ,Kindle Edition,369,2013,2013,,2023/12/19,,,read,,,,1,0
44650326,"Iron Heart (Crier's War, #2)",Nina Varela,"Varela, Nina",,"=""""","=""""",0,4.25,HarperTeen,Hardcover,400,2020,2020,2024/03/09,2024/03/09,,,read,,,,1,0
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,"=""0142437204""","=""9780142437209""",0,4.15,Penguin,Paperback,532,2003,1847,,2024/03/09,to-read,to-read (#182),to-read,,,,0,0
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333846""","=""9780385333849""",0,4.10,Dial Press,Paperback,275,1999,1969,,2024/03/09,to-read,to-read (#181),to-read,,,,0,0
394535,"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,"McCarthy, Cormac",,"=""""","=""""",0,4.16,Vintage Books,Paperback,351,2010,1985,,2024/03/09,to-read,to-read (#180),to-read,,,,0,0
63083089,Mrs. S,K.    Patrick,"Patrick, K.",,"=""1609458419""","=""9781609458416""",0,3.64,Europa Editions,Kindle Edition,240,2023,2023,,2024/03/08,to-read,to-read (#179),to-read,,,,0,0
75715117,Sunburn,Chloe Michelle Howarth,"Howarth, Chloe Michelle",,"=""0857308416""","=""9780857308412""",0,4.32,VERVE Books,Paperback,288,2023,2023,,2024/03/08,to-read,to-read (#178),to-read,,,,0,0
56969555,All of You Every Single One,Beatrice Hitchman,"Hitchman, Beatrice",,"=""1419756931""","=""9781419756931""",0,3.58,Harry N. Abrams,Hardcover,320,2022,2021,,2024/03/08,to-read,to-read (#177),to-read,,,,0,0
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",0,4.32,Ecco,Paperback,408,2012,2011,,2024/03/07,to-read,to-read (#176),to-read,,,,0,0
